ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/10/28,9950,9950,,211.23
2019/10/29,10026,10026,,213.21
2019/10/30,10011,10011,,213.36
2019/10/31,10023,10023,,213.57
2019/11/01,9912,9912,,211.14
2019/11/05,10208,10208,,217.51
2019/11/06,10303,10303,,221.36
2019/11/07,10266,10266,,223.91
2019/11/08,10366,10366,,225.85
2019/11/11,10238,10238,,222.81
2019/11/12,10144,10144,,220.94
2019/11/13,10126,10126,,220.55
2019/11/14,10017,10017,,218.54
2019/11/15,9990,9990,,218.81
2019/11/18,10069,10069,,220.75
2019/11/19,10061,10061,,221.57
2019/11/20,10119,10119,,223.46
2019/11/21,10048,10048,,222.16
2019/11/22,10025,10025,,221.98
2019/11/25,10063,10063,,223.13
2019/11/26,10136,10136,,225.81
2019/11/27,10099,10099,,225.49
2019/11/28,10165,10165,,227.19
2019/11/29,10161,10161,,227.17
2019/12/02,10058,10058,,224.87
2019/12/03,10009,10009,,224.06
2019/12/04,9918,9918,,224.16
2019/12/05,9952,9952,,225.21
2019/12/06,10018,10018,,226.96
2019/12/09,10055,10055,,228.09
2019/12/10,10064,10064,,228.45
2019/12/11,10069,10069,,229.05
2019/12/12,10142,10142,,231.15
2019/12/13,10371,10371,,236.87
2019/12/16,10486,10486,,239.84
2019/12/17,10518,10518,,241.30
2019/12/18,10647,10647,,244.14
2019/12/19,10733,10733,,245.82
2019/12/20,10687,10687,,244.46
2019/12/23,10694,10694,,244.52
2019/12/24,10733,10733,,245.71
2019/12/25,10703,10703,,244.91
2019/12/26,10730,10730,,245.80
2019/12/27,10769,10769,,246.69
2019/12/30,10820,10820,,247.87
2020/01/06,10705,10705,,245.77
2020/01/07,10649,10649,,244.98
2020/01/08,10606,10606,,246.63
2020/01/09,10732,10732,,250.52
2020/01/10,10912,10912,,255.14
2020/01/14,11134,11134,,260.79
2020/01/15,11088,11088,,260.65
2020/01/16,11043,11043,,259.87
2020/01/17,11108,11108,,261.74
2020/01/20,11155,11155,,263.34
2020/01/21,11143,11143,,263.45
2020/01/22,10922,10922,,258.22
2020/01/23,10980,10980,,261.59
2020/01/24,10853,10853,,258.87
2020/01/27,10760,10760,,257.01
2020/01/28,10570,10570,,252.92
2020/01/29,10589,10589,,253.38
2020/01/30,10538,10538,,252.15
2020/01/31,10331,10331,,247.30
2020/02/03,10137,10137,,243.04
2020/02/04,10161,10161,,243.44
2020/02/05,10478,10478,,252.14
